Country,Area_km,Code
Afghanistan,652225,AFG
Albania,28748,ALB
Algeria,2381741,DZA
Andorra,468,AND
Angola,1246700,AGO
Anguilla,90,AIA
Antigua and Barbuda,440,ATG
Argentina,2736690,ARG
Armenia,28470,ARM
Aruba,180,ABW
Australia,7682300,AUS
Austria,82531,AUT
Azerbaijan,82659,AZE
Bahamas,10010,BHM
Bahrain,770,BHR
Bangladesh,130170,BGD
Barbados,430,BRB
Belarus,202910,BLR
Belgium,30280,BEL
Belize,22810,BLZ
Benin,112760,BEN
Bermuda,50,BMU
Bhutan,38117,BTN
Bolivia,1083300,BOL
Bosnia and Herzegovina,51200,BIH
Botswana,566730,BWA
Brazil,8358140,BRA
British Virgin Islands,153,VGB
Brunei Darussalam,5270,BRN
Bulgaria,108560,BGR
Burkina Faso,273600,BFA
Burundi,25680,MMR
Côte d'Ivoire,318000,CIV
Cambodia,176520,KHM
Cameroon,472710,CMR
Canada,9093510,CAN
Cape Verde,4030,CPV
Cayman Islands,240,CYM
Central African Republic,622980,CAF
Chad,1259200,TCD
Chile,743532,CHL
China,9388211,CHN
Colombia,1109500,COL
Comoros,1861,COM
Congo,341500,COG
Cook Islands,240,COK
Costa Rica,51060,CRI
Croatia,55960,HRV
Cuba,106449,CUB
Cyprus,9240,CYP
Czech Republic,77230,CZE
Democratic Republic of the Congo,"2,345,410",COD
Denmark,42430,DNK
Djibouti,23180,DJI
Dominica,750,DMA
Dominican Republic,48320,DOM
Ecuador,248360,ECU
Egypt,995450,EGY
El Salvador,20720,SLV
Equatorial Guinea,28050,GNO
Eritrea,101000,ERI
Estonia,42390,EST
Ethiopia,1000000,ETH
Faeroe Islands,1396,FRO
Falkland Islands,12173,FLK
Fiji,18270,FJI
Finland,303890,FIN
France,547557,FRA
French Guiana,83534,GUF
French Polynesia,3660,PYF
Gabon,257670,GAB
Gambia,10120,GMB
Georgia,69490,GEO
Germany,348540,DEU
Ghana,227540,GHA
Gibraltar,7,GIB
Greece,128900,GRC
Greenland,410450,GRL
